Maya knowledge base — patient questions derived from form fields,,,,,,,,,,
"Tier is a routing rule. Answer text is what Maya says — spoken, short, no lists. Filter column C to review one tier at a time.",,,,,,,,,,
NEWLY ADDED CONTENT: Rows shaded light green were added from the patient-experience review.,,,,,,,,,,
ID,Topic,Tier,Canonical question,How patients actually say it,What Maya says,Answer source,Citation,Design note,Orig. row,Green in original?
THE LETTER AND WHAT IT IS — MC 216 page 1,,,,,,,,,5,
KB-LTR-01,The letter,T1,What is this form?/ What does this packet contain,What's this paper? · I got something in the mail · What is this about?,It's your yearly Medi-Cal renewal. Once a year the county checks that your information is still right so your coverage keeps going. Most of it is already filled in for you.,Static,MC 216 p.1–2,Leads with reassurance that it is pre-filled. That single fact reduces refusal more than anything else.,6,Yes
KB-LTR-02,The letter,T1,Do I have to do this?,Can I ignore it? · What if I don't send it?,"You do need to send it back. If you don't, your Medi-Cal can stop. I can help you get it done today.",Static,MC 216 p.1,The form itself says 'You may lose your Medi-Cal if you do not respond by' the due date. Do not soften it and do not dramatise.,7,Yes
KB-LTR-03,The letter,T1,Why is only part of my family on this form?,My husband isn't on here · Where are my kids?,That's normal. Anyone in your household who isn't on this form gets their own separate letter about their Medi-Cal.,Static,MC 216 p.1,"Stated verbatim on the form. One household can be renewing on more than one form, and on different form types.",8,Yes
KB-LTR-04,The letter,T1,I never got the form.,Nothing came in the mail · I didn't get anything,"That happens a lot, usually because the county has an older address. Let's get that fixed and get you a new copy.",Static,MC 216 p.2,Do not treat this as a dead end — it is the highest-value correction available. Route to counsellor for the county address update.,9,Yes
KB-LTR-04 [dup ID],The letter,T1,I got the form but lost it,I kept it safe but seems to have lost it,"That happens, Let's get that fixed and get you a new copy.",Static,MC 216 p.2,Do not treat this as a dead end — it is the highest-value correction available. Route to counsellor for the county address update.,10,Yes
KB-LTR-05,The letter,T1,I already sent it.,I mailed it last week · My daughter did it online,"Good. Let me check what the county has on file, because sometimes they come back asking for one more thing.",Static,MC 216 p.16,Never close on self-reported submission. The form's own privacy section says the county will contact them if something […] [cut off in photo],11,Yes
KB-LTR-06,The letter,T1,It's not in my language.,I can't read this · It's in English,"You can get this form in your language, and I can talk you through it right now in Spanish if that's easier.",Static,MC 216 p.1,Form states it is available in another language or accessible format. Substitute the patient's actual language.,12,Yes
KB-LTR-07,The letter,T1,Do I fill in the whole thing?,Do I answer everything again? · It's already filled in,"No. Just check what's printed and only write in things that changed. If everything is right, you tick the box and sign.",Static,MC 216 p.2,"The confirm-or-correct model, said plainly. This is the answer that most shortens the perceived task.",13,Yes
KB-LTR-08,The letter,T2,Whose name is on this as my worker?,Who is handling my case?,[Read worker name and county phone number from the case record.],Case record,MC 216 p.1,"Pre-populated on the form. If Mvue does not hold it, Maya says she will find out.",14,Yes
KB-LTR-09,The letter,T1,I didn't get the packet but the address you have is right,"The address you have is correct but nothing came · You have the right address but no letter arrived · My address is right, but I never got anything · Correct address but I didn't receive the packet","That does happen sometimes even when the address is right. Let me confirm the address on file with you — if it's correct I'll flag it with the county so someone can look into why the packet didn't reach you, and if it needs updating we'll take the new one and have the county update your file and get back to you.",Static,MC 216 p.2,"Two-step: (1) confirm address on file; (2a) address correct ? flag with county for re-send; (2b) address wrong ? collect new address (defer to S4 no-packet path), county updates and gets back. Never claim Maya has updated the county record.",,No
DEADLINES AND TIMING,,,,,,,,,15,
KB-DUE-01,Deadlines,T2,When is this due?,How long do I have? · What's the last day?,[Read the due date from the case record.] If it's not on record: I want to give you the exact date rather than guess — let me confirm it and come back to you.,Case record,MC 216 p.1,"THE canonical T2 field. Never inferred from the notice date, never estimated, never rounded.",16,Yes
KB-DUE-02,Deadlines,T1,What if I'm late?,I missed the date · Is it too late?,It may still be fixable. Don't assume it's over — let me get you to someone who can check where your case stands.,Static,—,Deliberately non-committal. The cure-period rules are real but the specifics are UNVERIFIED and case-dependent. Do not name a number of days.,17,Yes
KB-DUE-03,Deadlines,T3,How long do I have to fix it after my coverage stopped?,Can I still get it back? · How many months do I have?,"There is a window after coverage stops, and I don't want to give you the wrong number. Let me get you to a specialist who can look at your case.",Transfer,UNVERIFIED,Cure-period length must be confirmed with DHCS or the county before any spoken figure is approved.,18,Yes
KB-DUE-04,Deadlines,T1,How long does it take once I send it?,When will I hear back? · How fast is it?,"For Medi-Cal the county has up to forty-five days to decide, though it's often quicker.",Static,SAWS 2 PLUS cover,45 days is stated for Medi-Cal and cash aid; 30 days is CalFresh. Do not mix them,19,Yes
KB-DUE-05,Deadlines,T1,How soon do I have to report changes later?,If something changes do I have to tell you?,"Yes — tell the county within ten days if anything changes, like your address, your income, or who lives with you.",Static,MC 216 p.15,Ten days for Medi-Cal. Thirty days if they are insured through Covered California — a separate clock.,20,No
KB-DUE-06,Deadlines,T2,The county asked me for something and I don't know what.,I got another letter · They want more papers,[Read the outstanding county request from the case record.] If not held: let me find out exactly what they're asking for so you only have to do it […] [cell clipped in photo],Case record,MC 216 p.16,Guessing here makes the patient send the wrong document and restarts the clock.,21,No
KB-DUE-07,Deadlines,T1,Can I get help with bills from before I applied?,I have a bill from two months ago,Sometimes yes — Medi-Cal can look at bills from the three months before you apply. Let me flag that so it gets asked.,Static,SAWS 2 PLUS Q22c,Retroactive coverage. Real revenue for the clinic and rarely raised by patients,22,No
CONTACT INFORMATION AND ADDRESS — MC 216 page 2,,,,,,,,,23,
KB-ADR-01,Address,T1,I moved. What do I do?,I have a new address · I don't live there,That's important — a lot of people lose coverage just because letters go […] [row clipped in photo],Static,MC 216 p.2,Maya cannot update the county record.,24,Yes
KB-ADR-02,Address,T1,I don't have an address.,I'm staying with people · I'm not housed right now,"That's okay, and it doesn't stop you. You can use a mailing address that's different from where you sleep, and we can help you sort one out.",Static,MC 216 p.2; SAWS 2 PLUS Q1,,25,Yes
KB-ADR-03,Address,T1,Which phone number should I give?,I have two phones · Should I put my work number?,Give whichever number reaches you most reliably. You can list more than one.,Static,MC 216 p.2,,26,Yes
KB-ADR-04,Address,T1,Do I have to give an email?,I don't have email · Do you need my email?,"No, email is optional. You don't need one.",Static,MC 216 p.2,,27,Yes
KB-ADR-05,Address,T1,Can you write to me in my language?,Can you send it in Spanish? · I read better in Chinese,Yes. You can tell them which language to write to you in and which to speak to you in — they can be different.,Static,MC 216 p.2,,28,No
KB-ADR-06,Address,T1,How do you already have my information?,Where did you get this? · Who gave you my details?,"The county already has your file, so most of the form comes pre-printed. I'm calling from [clinic name], where you get your care.",Static,MC 216 p.2,,29,No
KB-ADR-07,Address,T1,Can I choose how you contact me?,"Stop calling, just mail it · I'd rather text","Yes. You can say whether you'd rather be contacted by phone, mail, or email, and we'll follow that.",Static,MC 216 p.2,,30,No
KB-ADR-08,Address,T1,Am I deaf-accessible / can I get large print?,I can't hear well on the phone · I need big print,"Yes — you can get this in large print, audio, or other formats, and there's free help for that.",Static,"MC 216 p.1, p.18",,31,Yes
KB-ADR-09,Address,T3,Can I use the clinic as my mailing address?,Can you get my mail? · Can it come to the clinic?,That may be possible and it's worth asking. Let me get you to someone who can set it up properly.,Transfer,UNVERIFIED,,32,No
GETTING HELP AND WHO CAN ACT FOR YOU,,,,,,,,,33,
KB-HLP-01,Help,T1,Can someone help me fill this in?,I don't understand it · Can you do it for me?,"Yes, and it's free. There are certified counsellors at [clinic name] who do this every day, in your language.",Static,MC 216 p.1; SAWS 2 PLUS cover,,34,Yes
KB-HLP-02,Help,T1,Can someone else deal with this for me?,Can my daughter handle it? · I want my son to talk to them,"Yes. You can name someone — a family member, friend, carer, or an advocate — to help with your Medi-Cal and speak to the county for you.",Static,MC 216 p.2,,35,Yes
KB-HLP-03,Help,T1,Can you submit it for me?,Can you just do it? · Will you send it in?,"We can, if you give us permission first. It takes a few minutes and I'll read you exactly what you're agreeing to.",Static,MC 216 p.15,,36,Yes
KB-HLP-04,Help,T3,How do I change who represents me?,I don't want my ex handling it anymore,You can change that at any time. Let me get you to someone who can do it properly with the county.,Transfer,MC 216 p.2,,37,Yes
KB-HLP-05,Help,T1,Can I do this in person instead?,I'd rather come in · I don't want to do this on the phone,Of course. I can book you with a counsellor at a clinic near you who speaks your language.,Static,MC 216 p.1,,38,Yes
