Maya knowledge base — patient questions derived from form fields,,,,,,,,
"Tier is a routing rule. Answer text is what Maya says — spoken, short, no lists. Filter column C to review one tier at a time.",,,,,,,,
,,,,,,,,
ID,Topic,Tier,Canonical question,How patients actually say it,What Maya says,Answer source,Citation,Design note
THE LETTER AND WHAT IT IS — MC 216 page 1,,,,,,,,
KB-LTR-01,The letter,T1,What is this form?/ What does this packet contain,What's this paper? · I got something in the mail · What is this about?,It's your yearly Medi-Cal renewal. Once a year the county checks that your information is still right so your coverage keeps going. Most of it is already filled in for you.,Static,MC 216 p.1–2,Leads with reassurance that it is pre-filled. That single fact reduces refusal more than anything else.
KB-LTR-02,The letter,T1,Do I have to do this?,Can I ignore it? · What if I don't send it?,"You do need to send it back. If you don't, your Medi-Cal can stop. I can help you get it done today.",Static,MC 216 p.1,The form itself says 'You may lose your Medi-Cal if you do not respond by' the due date. Do not soften it and do not dramatise it.
KB-LTR-03,The letter,T1,Why is only part of my family on this form?,My husband isn't on here · Where are my kids?,That's normal. Anyone in your household who isn't on this form gets their own separate letter about their Medi-Cal.,Static,MC 216 p.1,"Stated verbatim on the form. One household can be renewing on more than one form, and on different form types."
KB-LTR-04,The letter,T1,I never got the form.,Nothing came in the mail · I didn't get anything,"That happens a lot, usually because the county has an older address. Let's get that fixed and get you a new copy.",Static,MC 216 p.2,Do not treat this as a dead end — it is the highest-value correction available. Route to counsellor for the county address update.
KB-LTR-04,The letter,T1,I  got the form but lost it,I kept it safe but seems to have lost it,"That happens, Let's get that fixed and get you a new copy.",Static,MC 216 p.2,Do not treat this as a dead end — it is the highest-value correction available. Route to counsellor for the county address update.
KB-LTR-05,The letter,T1,I already sent it.,I mailed it last week · My daughter did it online,"Good. Let me check what the county has on file, because sometimes they come back asking for one more thing.",Static,MC 216 p.16,Never close on self-reported submission. The form's own privacy section says the county will contact them if something required is missing.
KB-LTR-06,The letter,T1,It's not in my language.,I can't read this · It's in English,"You can get this form in your language, and I can talk you through it right now in Spanish if that's easier.",Static,MC 216 p.1,Form states it is available in another language or accessible format. Substitute the patient's actual language.
KB-LTR-07,The letter,T1,Do I fill in the whole thing?,Do I answer everything again? · It's already filled in,"No. Just check what's printed and only write in things that changed. If everything is right, you tick the box and sign.",Static,MC 216 p.2,"The confirm-or-correct model, said plainly. This is the answer that most shortens the perceived task."
KB-LTR-08,The letter,T2,Whose name is on this as my worker?,Who is handling my case?,[Read worker name and county phone number from the case record.],Case record,MC 216 p.1,"Pre-populated on the form. If Mvue does not hold it, Maya says she will find out."
DEADLINES AND TIMING,,,,,,,,
KB-DUE-01,Deadlines,T2,When is this due?,How long do I have? · What's the last day?,[Read the due date from the case record.] If it's not on record: I want to give you the exact date rather than guess — let me confirm it and come back to you.,Case record,MC 216 p.1,"THE canonical T2 field. Never inferred from the notice date, never estimated, never rounded."
KB-DUE-02,Deadlines,T1,What if I'm late?,I missed the date · Is it too late?,It may still be fixable. Don't assume it's over — let me get you to someone who can check where your case stands.,Static,—,Deliberately non-committal. The cure-period rules are real but the specifics are UNVERIFIED and case-dependent. Do not name a number of days.
KB-DUE-03,Deadlines,T3,How long do I have to fix it after my coverage stopped?,Can I still get it back? · How many months do I have?,"There is a window after coverage stops, and I don't want to give you the wrong number. Let me get you to a specialist who can look at your case.",Transfer,UNVERIFIED,Cure-period length must be confirmed with DHCS or the county before any spoken figure is approved.
KB-DUE-04,Deadlines,T1,How long does it take once I send it?,When will I hear back? · How fast is it?,"For Medi-Cal the county has up to forty-five days to decide, though it's often quicker.",Static,SAWS 2 PLUS cover,45 days is stated for Medi-Cal and cash aid; 30 days is CalFresh. Do not mix them up.
KB-DUE-05,Deadlines,T1,How soon do I have to report changes later?,If something changes do I have to tell you?,"Yes — tell the county within ten days if anything changes, like your address, your income, or who lives with you.",Static,MC 216 p.15,Ten days for Medi-Cal. Thirty days if they are insured through Covered California — a separate clock.
KB-DUE-06,Deadlines,T2,The county asked me for something and I don't know what.,I got another letter · They want more papers,[Read the outstanding county request from the case record.] If not held: let me find out exactly what they're asking for so you only have to do it once.,Case record,MC 216 p.16,Guessing here makes the patient send the wrong document and restarts the clock.
KB-DUE-07,Deadlines,T1,Can I get help with bills from before I applied?,I have a bill from two months ago,Sometimes yes — Medi-Cal can look at bills from the three months before you apply. Let me flag that so it gets asked.,Static,SAWS 2 PLUS Q22c,Retroactive coverage. Real revenue for the clinic and rarely raised by patients unprompted.
CONTACT INFORMATION AND ADDRESS — MC 216 page 2,,,,,,,,
KB-ADR-01,Address,T1,I moved. What do I do?,I have a new address · I don't live there anymore,That's important — a lot of people lose coverage just because letters go to an old address. Let's get it updated with the county.,Static,MC 216 p.2,"Maya cannot update the county record. Explain, then route. Do not imply she has done it."
KB-ADR-02,Address,T1,I don't have an address.,I'm staying with people · I'm not housed right now,"That's okay, and it doesn't stop you. You can use a mailing address that's different from where you sleep, and we can help you sort one out.",Static,MC 216 p.2; SAWS 2 PLUS Q1,"Both forms provide for a separate mailing address, and SAWS 2 PLUS explicitly asks the county to help construct a usable one."
KB-ADR-03,Address,T1,Which phone number should I give?,I have two phones · Should I put my work number?,Give whichever number reaches you most reliably. You can list more than one.,Static,MC 216 p.2,"Form has four slots: home, cell, work, other."
KB-ADR-04,Address,T1,Do I have to give an email?,I don't have email · Do you need my email?,"No, email is optional. You don't need one.",Static,MC 216 p.2,"Marked optional on the form. Do not push for it, and never gate document collection on it."
KB-ADR-05,Address,T1,Can you write to me in my language?,Can you send it in Spanish? · I read better in Chinese,Yes. You can tell them which language to write to you in and which to speak to you in — they can be different.,Static,MC 216 p.2,Two separate fields. A patient may read one language and prefer to speak another.
KB-ADR-06,Address,T1,How do you already have my information?,Where did you get this? · Who gave you my details?,"The county already has your file, so most of the form comes pre-printed. I'm calling from [clinic name], where you get your care.",Static,MC 216 p.2,"Answers the pre-population question and the trust question at once. Always name the member centre, never Mvue."
KB-ADR-07,Address,T1,Can I choose how you contact me?,"Stop calling, just mail it · I'd rather text","Yes. You can say whether you'd rather be contacted by phone, mail, or email, and we'll follow that.",Static,MC 216 p.2,"'Best way to contact you' is a stated preference on the form. Honour it in the contact policy, not just the answer."
KB-ADR-08,Address,T1,Am I deaf-accessible / can I get large print?,I can't hear well on the phone · I need big print,"Yes — you can get this in large print, audio, or other formats, and there's free help for that.",Static,"MC 216 p.1, p.18",Form commits to accessible formats and qualified sign language interpreters at no cost.
KB-ADR-09,Address,T3,Can I use the clinic as my mailing address?,Can you get my mail? · Can it come to the clinic?,That may be possible and it's worth asking. Let me get you to someone who can set it up properly.,Transfer,UNVERIFIED,Depends on member centre policy and county acceptance. Confirm per site before Maya ever offers it.
GETTING HELP AND WHO CAN ACT FOR YOU,,,,,,,,
KB-HLP-01,Help,T1,Can someone help me fill this in?,I don't understand it · Can you do it for me?,"Yes, and it's free. There are certified counsellors at [clinic name] who do this every day, in your language.",Static,MC 216 p.1; SAWS 2 PLUS cover,Both forms commit to free help and free interpretation.
